iter	Passed	Remaining
0	122	122354
1	125	62381
2	125	41842
3	126	31588
4	127	25418
5	128	21332
6	129	18380
7	130	16167
8	131	14442
9	131	13063
10	132	11941
11	133	11008
12	134	10245
13	135	9575
14	136	8993
15	137	8479
16	139	8040
17	140	7645
18	141	7297
19	142	6964
20	142	6662
21	144	6405
22	144	6146
23	145	5902
24	145	5686
25	146	5495
26	147	5311
27	148	5164
28	149	5005
29	150	4862
30	151	4733
31	152	4608
32	153	4487
33	154	4375
34	155	4281
35	156	4190
36	157	4100
37	159	4031
38	160	3945
39	161	3867
40	162	3798
41	164	3741
42	165	3682
43	167	3628
44	168	3574
45	169	3516
46	170	3458
47	174	3461
48	175	3402
49	176	3345
50	177	3298
51	178	3247
52	178	3196
53	179	3150
54	181	3110
55	181	3065
56	183	3034
57	184	3001
58	186	2970
59	187	2933
60	188	2904
61	190	2880
62	192	2857
63	192	2821
64	193	2786
65	194	2754
66	195	2722
67	196	2692
68	197	2663
69	198	2632
70	199	2606
71	199	2576
72	200	2548
73	201	2519
74	202	2492
75	205	2501
76	206	2477
77	207	2450
78	207	2423
79	208	2402
80	209	2378
81	210	2356
82	210	2330
83	211	2307
84	212	2284
85	212	2261
86	213	2239
87	214	2218
88	214	2196
89	215	2175
90	215	2154
91	216	2134
92	216	2114
93	217	2095
94	219	2086
95	220	2077
96	221	2065
97	222	2047
98	223	2031
99	223	2013
100	224	1997
101	224	1979
102	225	1964
103	226	1947
104	226	1931
105	227	1916
106	227	1901
107	228	1885
108	228	1870
109	229	1857
110	230	1843
111	231	1833
112	232	1823
113	233	1812
114	234	1804
115	235	1791
116	235	1777
117	236	1765
118	236	1752
119	237	1739
120	237	1727
121	238	1714
122	238	1702
123	239	1691
124	239	1679
125	240	1668
126	240	1656
127	241	1645
128	242	1635
129	242	1625
130	243	1614
131	243	1604
132	244	1593
133	247	1596
134	247	1587
135	248	1578
136	249	1569
137	249	1560
138	250	1551
139	251	1542
140	251	1533
141	252	1522
142	252	1513
143	253	1504
144	253	1495
145	254	1487
146	254	1478
147	255	1470
148	256	1462
149	256	1454
150	257	1446
151	257	1438
152	258	1431
153	259	1423
154	259	1415
155	262	1419
156	263	1412
157	263	1404
158	264	1397
159	264	1389
160	265	1381
161	265	1374
162	266	1367
163	266	1359
164	267	1352
165	267	1345
166	268	1339
167	269	1332
168	269	1326
169	270	1320
170	270	1313
171	271	1307
172	272	1301
173	272	1295
174	273	1289
175	274	1284
176	274	1278
177	275	1271
178	276	1265
179	276	1260
180	277	1254
181	277	1248
182	278	1243
183	279	1238
184	280	1234
185	280	1229
186	281	1224
187	282	1220
188	283	1215
189	284	1211
190	284	1205
191	285	1200
192	285	1195
193	286	1190
194	287	1185
195	287	1180
196	288	1176
197	289	1170
198	290	1167
199	290	1162
200	291	1158
201	292	1153
202	292	1149
203	293	1144
204	293	1139
205	294	1134
206	294	1129
207	295	1124
208	295	1119
209	296	1115
210	296	1110
211	297	1105
212	298	1101
213	298	1096
214	299	1091
215	299	1087
216	300	1083
217	300	1078
218	301	1074
219	302	1070
220	302	1067
221	303	1062
222	304	1059
223	304	1056
224	305	1052
225	306	1048
226	306	1044
227	307	1040
228	307	1036
229	308	1032
230	309	1028
231	309	1024
232	310	1020
233	310	1016
234	311	1012
235	311	1008
236	312	1005
237	312	1001
238	313	997
239	313	993
240	314	989
241	314	986
242	315	982
243	315	978
244	316	976
245	317	972
246	318	971
247	319	967
248	320	965
249	320	962
250	321	959
251	321	955
252	322	952
253	323	948
254	323	945
255	324	942
256	324	938
257	325	935
258	325	932
259	326	928
260	326	925
261	327	922
262	327	918
263	328	915
264	329	912
265	329	909
266	331	910
267	332	908
268	333	905
269	334	903
270	334	900
271	335	897
272	335	894
273	336	891
274	336	888
275	337	885
276	338	882
277	338	879
278	339	876
279	339	873
280	340	870
281	340	867
282	341	864
283	341	861
284	342	858
285	342	855
286	343	853
287	343	850
288	344	847
289	344	844
290	345	841
291	346	839
292	346	836
293	347	834
294	348	832
295	349	830
296	349	827
297	350	824
298	350	822
299	351	819
300	351	816
301	352	814
302	352	811
303	353	808
304	353	806
305	354	803
306	354	801
307	355	798
308	355	796
309	356	793
310	357	791
311	357	788
312	358	786
313	359	784
314	359	782
315	360	781
316	361	779
317	362	777
318	362	774
319	363	772
320	364	770
321	364	767
322	365	765
323	365	762
324	366	760
325	366	758
326	367	755
327	367	753
328	368	751
329	368	749
330	369	747
331	370	744
332	370	742
333	371	740
334	371	737
335	372	735
336	372	733
337	374	732
338	375	732
339	376	730
340	376	728
341	377	725
342	377	723
343	378	721
344	378	719
345	379	716
346	379	714
347	380	712
348	380	709
349	380	707
350	381	705
351	381	703
352	382	701
353	383	699
354	384	697
355	384	695
356	385	693
357	385	691
358	386	689
359	386	687
360	387	685
361	390	687
362	391	686
363	391	684
364	392	682
365	392	680
366	393	677
367	393	675
368	393	673
369	394	671
370	394	669
371	395	667
372	395	665
373	396	663
374	396	661
375	397	659
376	397	657
377	398	655
378	398	653
379	399	651
380	399	649
381	400	647
382	400	645
383	401	643
384	401	641
385	402	639
386	405	641
387	405	640
388	406	638
389	407	636
390	407	635
391	408	633
392	408	631
393	409	629
394	409	627
395	410	625
396	410	623
397	411	621
398	411	619
399	411	617
400	412	616
401	412	614
402	413	612
403	413	610
404	414	608
405	414	606
406	415	605
407	415	603
408	416	601
409	416	599
410	417	597
411	418	597
412	419	596
413	420	595
414	421	594
415	421	592
416	422	590
417	422	588
418	423	587
419	423	585
420	424	583
421	424	581
422	425	580
423	425	578
424	426	576
425	426	575
426	427	573
427	427	571
428	428	569
429	428	568
430	429	566
431	429	564
432	429	563
433	430	561
434	430	559
435	431	558
436	435	560
437	435	559
438	436	557
439	437	556
440	437	554
441	438	553
442	438	551
443	439	549
444	439	548
445	440	546
446	440	545
447	441	543
448	441	541
449	441	540
450	442	538
451	442	537
452	443	535
453	443	533
454	444	532
455	444	530
456	445	529
457	445	527
458	446	526
459	449	527
460	450	526
461	451	525
462	451	523
463	452	522
464	452	520
465	453	519
466	453	517
467	454	516
468	454	514
469	454	513
470	455	511
471	455	509
472	456	508
473	456	506
474	457	505
475	457	503
476	458	502
477	458	500
478	459	499
479	459	497
480	460	496
481	460	495
482	461	493
483	462	493
484	463	491
485	464	491
486	465	489
487	465	488
488	466	487
489	468	487
490	468	486
491	469	484
492	470	483
493	471	482
494	471	481
495	471	479
496	472	478
497	472	476
498	473	475
499	473	473
500	474	472
501	474	471
502	475	469
503	476	469
504	477	468
505	478	466
506	478	465
507	479	464
508	480	463
509	480	461
510	481	460
511	481	459
512	482	457
513	482	456
514	483	454
515	483	453
516	484	452
517	484	450
518	484	449
519	485	448
520	485	446
521	486	445
522	486	443
523	487	442
524	487	441
525	488	439
526	488	438
527	488	437
528	489	435
529	489	434
530	490	433
531	491	432
532	491	430
533	492	429
534	492	428
535	493	427
536	493	425
537	494	424
538	494	423
539	495	421
540	495	420
541	495	419
542	496	417
543	496	416
544	497	415
545	497	414
546	498	412
547	498	411
548	499	410
549	499	409
550	500	407
551	500	406
552	501	405
553	501	404
554	502	402
555	502	401
556	503	400
557	503	398
558	504	397
559	504	396
560	505	395
561	505	394
562	506	392
563	506	391
564	507	390
565	507	389
566	508	388
567	508	386
568	509	385
569	509	384
570	510	383
571	510	382
572	511	381
573	512	380
574	512	378
575	513	377
576	513	376
577	513	375
578	514	374
579	514	372
580	515	371
581	515	370
582	516	369
583	516	368
584	517	366
585	517	365
586	518	364
587	518	363
588	519	362
589	519	361
590	520	359
591	520	358
592	521	357
593	521	356
594	521	355
595	522	354
596	522	352
597	523	351
598	523	350
599	524	349
600	524	348
601	525	347
602	525	346
603	525	344
604	526	343
605	526	342
606	527	341
607	527	340
608	528	339
609	528	338
610	529	336
611	529	335
612	530	334
613	530	333
614	531	332
615	531	331
616	531	330
617	532	329
618	532	328
619	533	326
620	533	325
621	534	324
622	534	323
623	535	322
624	535	321
625	536	320
626	536	319
627	537	318
628	539	318
629	540	317
630	541	316
631	543	316
632	546	316
633	547	316
634	549	315
635	550	314
636	551	314
637	551	313
638	552	312
639	553	311
640	554	310
641	554	309
642	555	308
643	556	307
644	557	306
645	557	305
646	558	304
647	559	303
648	559	302
649	560	301
650	561	300
651	562	300
652	562	299
653	563	298
654	564	297
655	565	296
656	565	295
657	566	294
658	567	293
659	568	292
660	568	291
661	569	290
662	570	289
663	571	288
664	571	288
665	572	287
666	573	286
667	573	285
668	574	284
669	577	284
670	578	283
671	580	283
672	580	282
673	581	281
674	582	280
675	583	279
676	584	278
677	585	278
678	586	277
679	586	276
680	587	275
681	587	273
682	588	272
683	588	271
684	589	270
685	589	269
